Pre-la-Joux: 6.7881017; 46.2332683!
Chauffayer: 6.0067509; 44.7568385!
La Trinite: 5.9854945; 44.778258!
Les Terrasses: 5.8244073; 44.8887777!
Les Egats: 5.8339069; 44.8757226!
Les Alloves: 5.8514915; 44.8651516!
Les Marcoux: 5.858409; 44.8541507!
St. Ouen: -2.2020406; 49.2335087!
St. Mary: -2.1716245; 49.2364029!
St. John: -2.1349726; 49.2465535!
Les Quennevais: -2.2031231; 49.1970877!
Greffern: 8.0056049; 48.7521656!
Bouilly: 5.5671508; 45.1109514!
Wissembourg: 7.9490308; 49.0383877!
Saint-Mesmes: 2.6963878; 48.9845027!
Vineuil: 2.7054139; 48.9865259!
Baraque Lortal: 2.1379586; 44.3058525!
Lyon: 4.8323239; 45.7575958!
Ile Grande: -3.5789763; 48.8002534!
La Godivelle: 2.922397; 45.3884116!
Le Mollard: 5.7210122; 44.9641201!
La Festiniere: 5.7538475; 44.9538291!
La Chapelle-Bertin: 3.6495376; 45.2194643!
La Couronne: 5.0528116; 43.3386706!
Meribel-Mottaret: 6.5809626; 45.3737947!
Meribel-les-Allues: 6.5666055; 45.399064!
Saint-Cirgues-de-Jordanne: 2.5811651; 45.0283951!
Sainte-Helene: -0.8834238; 44.9664165!
Mazoires: 3.0442536; 45.3929719!
Paris: 2.3521334; 48.8565056!
Marzun: 3.1008146; 45.3409885!
Chastreix: 2.7333525; 45.5123843!
Randens: 6.3082252; 45.5453405!
Cazillac: 1.6097792; 44.9956777!
Lasvaux: 1.6024943; 44.9956601!
Aydat: 2.9787535; 45.6618961!
Sauteyras: 2.981013; 45.6669252!
Saint-Didier: -1.3710862; 48.095079!
Prapoutel: 5.995602; 45.2567521!
Pipay: 6.015482; 45.2649784!
Le Mas: 2.6174319; 45.4321552!
Saint-Genes-Champespe: 2.7245317; 45.4186646!
Compains: 2.927524; 45.4419729!
Saint-Alyre-es-Montagne: 2.9935292; 45.3905142!
Apchat: 3.1451084; 45.3887558!
Lorlanges: 3.2668536; 45.3348123!
Bousselorgue: 3.1903536; 45.2442299!
Massiac: 3.1990713; 45.2513583!
Bousselorgues: 3.1765317; 45.3437012!
Anzat-le-Luguet: 3.0405377; 45.3316641!
Boutaresse: 2.9724532; 45.3627944!
Jassy: 2.9688355; 45.3813853!
Brion: 2.9613543; 45.4149544!
La Cassiere: 2.9998949; 45.683428!
Orcival: 2.8423207; 45.6829639!
Egliseneuve-d'Entraigues: 2.827279; 45.4078553!
Cezerat: 2.8994253; 45.2088486!
Moissac: 2.9722772; 45.1461294!
Chalinargues: 2.9323746; 45.1543394!
Apchon: 2.6935084; 45.2488648!
Murat-le-Quaire: 2.7339523; 45.5978828!
Murol: 2.9418699; 45.5756356!
Randanne: 2.9381719; 45.684888!
Theix: 3.0202062; 45.7059278!
La Tour-d'Auvergne: 2.6896574; 45.5326791!
Lusargues: 3.0505563; 45.2768839!
La Tuliere: 2.6820921; 45.3996964!
Salers: 2.4943427; 45.1385878!
Recusset: 2.5952147; 45.1441631!
Fontanges: 2.5028038; 45.1142771!
Saint-Simon: 2.4885804; 44.9641415!
Cheyrouse: 2.5209525; 45.2661562!
Dijon: 2.5128431; 45.297992!
Saint-Jacques-des-Blats: 2.7110252; 45.0534206!
Aime la Plagne: 6.6662927; 45.5102182!
Plagne Centre: 6.6743647; 45.5058779!
Plagne Bellecote: 6.6969503; 45.5124902!
Plagne Montalbert: 6.6350041; 45.5349102!
Ternand: 4.5288106; 45.9441933!
Belle Plagne: 6.7070067; 45.5070863!
Monte-Carlo: 7.4252368; 43.7389419!
La Grigne: -1.2044486; 44.8947227!
St Anne: -2.2036184; 49.7147885!
Digosville: -1.525707; 49.6311797!
Cherbourg-Octeville: -1.6384497; 49.6292405!
Saint-Pierre-Eglise: -1.4046471; 49.6679883!
Barfleur: -1.2644272; 49.6706815!
Carneville: -1.4507299; 49.6657068!
Maupertus-sur-Mer: -1.4872352; 49.6590054!
Le Theil: -1.470807; 49.6098947!
Bretteville: -1.5199361; 49.6557634!
Le Becquet de Digosville: -1.545493; 49.6526852!
La Rue: -1.448923; 49.6539902!
Le Becquet de Tourlaville: -1.5558578; 49.6515551!
Beaumont-Hague: -1.8370229; 49.6642448!
Jobourg: -1.9042283; 49.6839074!
Herqueville: -1.8791658; 49.6684112!
Auderville: -1.9303484; 49.7135519!
Le Vast: -1.3580543; 49.6227835!
La Vattay: 6.0533451; 46.3891622!
Le Toupin: -1.5715191; 49.6363849!
Monteynard Blais: 5.7037401; 44.9792666!
Le Collet: 5.7577797; 44.9495027!
Le Crey: 5.7639984; 44.9416429!
Les Moutieres: 5.7698939; 44.9369669!
Metz: 6.1763552; 49.1196964!
Tours: 0.6899713; 47.3903853!
Clermont-Ferrand: 3.0819427; 45.7774551!
Reims: 4.031926; 49.2577886!
Dijon: 5.0414701; 47.3215806!
Orleans: 1.9086066; 47.9027336!
Amiens: 2.2956951; 49.8941708!
Toulouse: 1.4442469; 43.6044622!
Limoges: 1.2644847; 45.8354243!
Rennes: -1.680009; 48.1113589!
Saint-Etienne: 4.3873058; 45.4401467!
Nantes: -1.5545147; 47.2185155!
Besancon: 6.0243246; 47.237953!
Le Mans: 0.1995271; 48.0077367!
Strasbourg: 7.7507127; 48.584614!
Mulhouse: 7.3399355; 47.7494188!
Angers: -0.5518917; 47.4712031!
Lille: 3.0706414; 50.6305089!
Toulon: 5.9304919; 43.1257311!
Nimes: 4.3600687; 43.8374249!
Rouen: 1.0939658; 49.4404591!
Grenoble: 5.7364904; 45.1864181!
Boulogne-Billancourt: 2.2399217; 48.8357506!
Aix-en-Provence: 5.4474738; 43.5298424!
Saint-Brieuc: -2.7602707; 48.5141594!
Bois-d'Arcy: 2.023607; 48.799856!
Chateaubriant: -1.3757282; 47.7194057!
Saverne: 7.3625104; 48.7420277!
Gonesse: 2.4500537; 48.9863555!
Douarnenez: -4.3311243; 48.0944459!
Montlucon: 2.6067229; 46.3399276!
Arcueil: 2.3320692; 48.8021118!
Moissy-Cramayel: 2.5957717; 48.6270443!
Foix: 1.6096025; 42.9660039!
